chapter	content
1	1. Rüstungsindustrie, Deutsches Reich, Jahreswende 1941/1942 Industriebetrieb mit rauchenden Schornsteinen. Frauen arbeiten in der Rüstungsindustrie. Frauen und Männer bei der Arbeit. Herstellung von Gewehren, Bomben und Geschützen. Fast fertige Flugabwehrgeschütze. Munitionslager. Halle zur Montage von Kampfflugzeugen. Flugzeuge werden aus der Halle gerollt. Herstellung von Panzern. Panzerkampfwagen III wird mithilfe eines Krans bewegt.
2	2. Metallsammlung und Verarbeitung, Deutsches Reich, 1942 Bevölkerung gibt Metalle in Form von Gefäßen, Statuen und Pokalen ab. Weiterverarbeitung des Metalls. Schmelzofen für Metallschmelze. Das flüssige Metall.
3	3. Spinnstoffsammlung und Verarbeitung, Deutsches Reich, 1942 Verarbeitung von Altkleidung in einer Fabrik. Altkleidung wird durch Maschinen zerrissen. Frau bei der Bedienung einer Maschine.
4	4. Winterspende für die Soldaten an der Ostfront, Deutsches Reich, 1942 Frauen sammeln für das deutsche Winterhilfswerk. Zeitungen rufen zur Kleiderspende auf. Die Winterkleidung wird von Spendensammlern zu Hause abgeholt. Kleider und Felle auf einem Ziehwagen. Die Kleider werden sortiert. Kleiderberge in der Nahaufnahme.
5	5. Kartentrick zum Kriegsverlauf in Europa, 1942 Der Kartentrick beginnt mit der Kriegslage in Europa zur Jahreswende 1940/1941 und zeigt dann die militärischen Bewegungen im Laufe des Jahres 1941. Der Beginn des Russlandfeldzuges wird mit dem drohenden Angriff der „bolschewistischen Offensivarmeen“ (Sprecherton) begründet. Darstellung des Vormarsches der deutschen Truppen in der Sowjetunion. Vergleich mit den Positionen der deutschen Armee und ihrer Verbündeten im Ersten Weltkrieg bis Ende 1916. Darstellung der deutschen Stützpunkte in Nord-, West-, Süd- und Osteuropa beim Jahreswechsel 1941/1942.
6	6. Deutsche Soldaten am Polarkreis, in Norwegen und in Dänemark, 1942 Soldaten mit Pferd und Wagen. Infanteristen beim Marschieren. Schneebedeckte Landschaft neben der Straße. Ein Soldat befestigt an einer Markierung des Polarkreises eine kleine Hakenkreuzfahne. Geschütze an der Küstenlinie. „Marineartillerie sichert die Einfahrten zu den Fjorden Norwegens“ (Sprecherton). Vorpostenboote während der Fahrt. Zerstörer (Messerschmidt Me 110) über den Bergen Norwegens. Innenaufnahmen einer Me 110 sowie Luftaufnahmen weiterer Maschinen der Flugzeugstaffel. Die Belt-Brücke. Deutscher Nachschub setzt über die Brücke. Kraftradschützentruppe und Fahrradabteilung überqueren die Brücke. Deutsche Zerstörer an der dänischen Küste. Befestigung an der Küste. Wachposten und Flugabwehrgeschütz an der Deutschen Bucht.
7	7. Artilleriefeuer auf Befestigungen, Ärmelkanal, Großbritannien, 1942 Blick über den Kanal zur englischen Küste. Artilleriefeuer auf Befestigungen von Dover. Deutsche Fernkampfgeschütze. Laden und Abfeuern der Artillerie. Einschläge.
8	8. Geleitzug wird bei der Fahrt durch den Kanal gesichert, Ärmelkanal, 1942 Aus einem niederländischen Hafen laufen deutsche Schnellboote aus. Schnellboot während der Fahrt. Minensuchboote sichern einen deutschen Geleitzug bei der Fahrt durch den Kanal. Britische Bomber greifen an. Die Flugzeuge werden unter Beschuss genommen. Bombeneinschlag Steuerbord. Einsatz der Artillerie. Ein Flugzeug wird abgeschossen und stürzt ins Meer. Ein deutscher Jäger beschießt ein britisches Flugzeug. Bordwaffenbeschuss (Leuchtspur). Britisches Flugzeug wird getroffen und stürzt ab.
9	9. Auslaufen eines Unterseebootes und Angriff deutscher Kampfflugzeuge auf britische Geleitzüge, Frankreich, 1942 Aus einem französischen Hafen an der Atlantikküste läuft ein deutsches U-Boot aus. Verabschiedung der Besatzung. Das U-Boot während der Fahrt. Deutsche Flugzeuge greifen britische Geleitzüge an. Pilot. Bordwaffenbeschuss (Leuchtspur). Bombenabwürfe und Einschläge.
10	10. Bombardierung britischer Erdziele, Cyrenaika, Nordafrika, 1942 Auf einen Feldflugplatz in Afrika starten deutsche und italienische Kampfflugzeuge (Sturzkampfflugzeuge Stuka Junkers Ju 87, Zerstörer Messerschmidt Me 110 und Bomber Savoia). Flugzeugstaffeln im Flug. Bombardierung von britischen Lastwagenkolonnen und Truppenansammlungen in der Cyrenaika. Bombeneinschläge. Flugabwehrartillerie (Flak) gegen britische Bomber. Ein britisches Flugzeug stürzt ab und explodiert. Das brennende Flugzeug. Schwarzer Rauch steigt auf. Der abgesprungene Pilot mit Fallschirm. Nahaufnahme des brennenden Flugzeugs.
11	11. Luftwaffen- und Marineeinsatz im Mittelmeer und deutsche Truppen auf Kreta, Griechenland, 1942 Wehende deutsche Kriegsflagge. Blick auf eine Ortschaft. Ein Olivenhain. Wachposten mit Geschützen an der Küste. Eine Transportmaschine (Junkers Ju 52) startet zum Flug über das Ägäische Meer. Luftaufnahmen eines Hafens. Bombenflugzeug (Dornier Do 17) im Flug. Schiffseinheiten auf dem Ägäischen Meer. Hissen der Segel. Schiff während der Fahrt. Funker bei der Arbeit. Wachposten an der Küste. Flugabwehrgeschütz (Flak).
12	12. Nachschub für die Ostfront, Sowjetunion, 1942 Kettenfahrzeug zieht Geschützwagen durch tiefen Schnee. Deutsche Truppen treffen sich durch Schneemassen kämpfend mit neuer Munition in einem Nachschublager der Artillerie ein. Munition wird gestapelt. Eine Schneehütte. Deutsche Kolonne im Schneesturm. Pferde mit Schlitten im Schneesturm.
13	13. Angriff auf Leningrad, Ostfront, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1942 Auf einem verschneiten Feldflugplatz. Bombenflugzeuge (Heinkel He 111) werden startklar gemacht. Schnee wird von den Tragflächen gefegt, die Bordwaffen gereinigt. Ein Vorwärmer sorgt dafür, dass die Motoren der Flugzeuge anspringen. Start der Bombenflugzeuge. Blick ins Cockpit. Bombenabwürfe und Angriff von Erdzielen mit Bordwaffen. Leningrad unter deutschem Artilleriebeschuss. Ein Stoßtrupp in einem verschneiten Waldgelände. Laden und Abfeuern eines Granatwerfers. Soldaten in einem brennenden Dorf. Schweine laufen auf der Straße. Ein brennendes Haus stürzt ein.
14	14. Bombardierung von Brücken, Ostfront, Halbinsel Kola, Murmansk, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1942 Ein Wachposten läuft Patrouille. Soldaten auf Skiern. Verschneiter deutscher Feldflugplatz an der Murmanküste. Kampfflugzeuge werden für den Einsatz an den Tragflächen mit Bomben beladen. Befehlsausgabe. Gruppe von Piloten. Start der Sturzkampfflugzeuge (Stuka Junkers Ju 87). Die Kampfflugzeuge im Flug. Bodenpersonal schaut zu den Flugzeugen auf. Brücken werden bombardiert. Bombeneinschläge.
15	15. Truppenübung, Japan, 1942 Soldaten beim Reiten. Der japanische Kaiser Hirohito wohnt einer Übung seiner Truppen bei. Gefechtsübung mit leichten Panzern und Infanteristen. Kampfflugzeuge im Flug.
16	16. Angriff auf die amerikanische Pazifikkriegsflotte, Hawaii, USA, 1942 Amerikanische Pazifikflotte wird bei Hawaii von den Japanern angegriffen. Luftaufnahmen von Kriegsschiffen. Japanische Kampfflugzeuge im Flug. Schlachtschiffe während der Fahrt.
